Deck Size,Hand Size,Trial,Attempts,Time (sec)
24,6,1,134601,216331943
24,6,2,134601,135699236
24,6,3,134604,130330641
24,6,4,134602,126399714
24,6,5,134599,111627432
24,7,1,346106,304341611
24,7,2,346105,271754753
24,7,3,346104,265142051
24,7,4,346104,277015635
24,7,5,346109,292014854
28,6,1,376752,355532287
28,6,2,376751,309293796
28,6,3,376752,396754921
28,6,4,376755,294124322
28,6,5,376746,415794920
28,7,1,1184046,1152871294
28,7,2,1184045,1098831010
28,7,3,1184043,1287652910
28,7,4,1184041,1511345180
28,7,5,1184052,1194356745
